tract,Name,Household_Income_rP_gM_pall
11001009811,"Southeast Washington, Washington, DC",18346
11001007404,"Douglass, Washington, DC",18288
11001007407,"Barry Farm, Washington, DC",18227
11001010900,"Southwest Washington, Washington, DC",17861
11001007504,"Historic Anacostia, Washington, DC",17767
11001009802,"Southeast Washington, Washington, DC",17449
11001004702,"Northwest Washington, Washington, DC",17408
11001007804,"Lincoln Heights, Washington, DC",17257
11001008804,"Northeast Washington, Washington, DC",17163
11001008904,"Carver / Langston, Washington, DC",17151
11001008903,"Carver / Langston, Washington, DC",17093
11001009906,"Marshall Heights, Washington, DC",17026
11001007406,"Southeast Washington, Washington, DC",16333
11001004701,"Northwest Washington, Washington, DC",16208
11001007408,"Southeast Washington, Washington, DC",16134
11001007401,"Barry Farm, Washington, DC",16103
11001009204,"Edgewood, Washington, DC",15655
11001007200,"Capitol Riverfront, Washington, DC",14562
11001010800,"Northwest Washington, Washington, DC",
11001006202,"Northwest Washington, Washington, DC",
51013101601,"North Highland, Arlington, VA",
11001006804,"Southeast Washington, Washington, DC",
11001000201,"Georgetown, Washington, DC",
